Row ID,OrderID,OrderDate,ProductID,CustomerID,Sale amount,Quantity,PaymentMode,Profit
7894,CA-2020-125367,2020-07-23,OFF-BI-10002412,NM-18445,120.9,3,COD,4.4
759,CA-2020-117240,2020-07-23,OFF-BI-10000848,CP-12340,116.1,3,Cards,4.3
6940,CA-2020-107132,2020-06-26,OFF-BI-10001071,SC-20260,127.4,2,Cards,37.1
1951,CA-2020-157987,2020-09-02,OFF-BI-10004970,AC-10615,104.4,8,COD,8.9
5403,CA-2020-123043,2020-08-24,OFF-BI-10003910,AH-10195,121.7,4,Cards,7.7
5404,CA-2020-123043,2020-08-24,OFF-BI-10000138,AH-10195,141.7,1,Cards,1.3
9270,US-2020-102183,2020-08-21,OFF-BI-10003476,PK-19075,139.1,7,COD,11.2
9271,US-2020-102183,2020-08-21,OFF-BI-10001359,PK-19075,4330.6,6,COD,1453.1
3100,CA-2020-131233,2020-04-14,OFF-BI-10000829,CS-12355,110.8,3,COD,3.5
9829,CA-2020-169999,2020-06-19,OFF-BI-10004728,JS-15685,137.6,3,COD,3.8
2639,CA-2020-108441,2020-06-12,OFF-BI-10000848,SB-20190,124.1,3,COD,4.3
3942,CA-2020-117863,2020-05-18,OFF-BI-10000605,TS-21340,102,1,COD,1
5135,CA-2020-155607,2020-11-26,OFF-BI-10003364,FG-14260,135.3,4,COD,32.7
2463,CA-2020-148691,2020-12-03,OFF-BI-10001524,CS-12460,116.9,5,Cards,29.4
1073,CA-2020-106943,2020-11-14,OFF-BI-10003669,FO-14305,121.6,2,Online,3
3218,CA-2020-104640,2020-11-10,OFF-BI-10003925,FH-14275,971.2,3,Online,314.3
6510,CA-2020-102197,2020-12-20,OFF-BI-10001524,DK-13150,489.4,3,Cards,17.6
7041,CA-2020-103443,2020-12-17,OFF-BI-10001617,AT-10735,444.8,3,COD,8.4
573,CA-2020-164826,2020-12-28,OFF-BI-10001922,JF-15415,158.3,7,COD,11.2
1507,CA-2020-154935,2020-12-24,OFF-BI-10003708,AR-10540,362.9,3,Online,5.6
2464,CA-2020-148691,2020-12-03,OFF-BI-10001553,CS-12460,110.6,2,COD,5.1
390,CA-2020-101798,2020-12-11,OFF-BI-10000050,MV-18190,398.4,4,COD,7.9
6748,CA-2020-100230,2020-12-11,OFF-BI-10002498,AA-10375,416,1,Online,5
3823,CA-2020-141873,2020-10-09,OFF-BI-10003655,HG-14845,144.2,6,Online,6.2
3820,CA-2020-141873,2020-10-09,OFF-BI-10001031,HG-14845,125.8,3,Online,4.3
2154,CA-2019-117282,2019-07-14,OFF-BI-10004094,DR-12880,14.2,2,COD,5.1
5227,CA-2019-119865,2019-06-21,OFF-BI-10003007,AS-10090,186.1,6,COD,60.5
5226,CA-2019-119865,2019-06-21,OFF-BI-10001553,AS-10090,36.6,5,COD,12.8
5332,CA-2019-123120,2019-09-04,OFF-BI-10001460,CV-12295,60.6,5,Online,20.5
9311,US-2019-102141,2019-08-26,OFF-BI-10001510,KD-16615,146.7,8,COD,45.8
7236,CA-2019-137337,2019-03-08,OFF-BI-10000632,GB-14575,69.5,2,Cards,22.6
3976,CA-2019-167556,2019-03-29,OFF-BI-10000320,JM-15250,41.3,7,COD,15
3974,CA-2019-167556,2019-03-29,OFF-BI-10003708,JM-15250,29.8,5,COD,9.3
5440,CA-2019-167115,2019-04-04,OFF-BI-10004600,EH-14185,588.8,2,COD,184
5144,CA-2019-111213,2019-04-01,OFF-BI-10004140,FP-14320,3.6,1,COD,1.1
4092,CA-2019-161473,2019-04-01,OFF-BI-10003305,TB-21175,14.4,3,COD,4.7
6238,US-2019-155180,2019-01-22,OFF-BI-10004506,TB-21280,26.3,4,Online,9.2
3744,CA-2019-137848,2019-01-15,OFF-BI-10002225,WB-21850,49.5,3,Cards,17.3
