Ship Mode,Ship Date,Order Date,Customer ID,Product ID
Standard Class,2020-07-30,2020-07-23,NM-18445,OFF-BI-10002412
Standard Class,2020-07-28,2020-07-23,CP-12340,OFF-BI-10000848
Standard Class,2020-06-30,2020-06-26,SC-20260,OFF-BI-10001071
Standard Class,2020-09-06,2020-09-02,AC-10615,OFF-BI-10004970
Standard Class,2020-08-29,2020-08-24,AH-10195,OFF-BI-10003910
Standard Class,2020-08-29,2020-08-24,AH-10195,OFF-BI-10000138
Standard Class,2020-08-28,2020-08-21,PK-19075,OFF-BI-10003476
Standard Class,2020-08-28,2020-08-21,PK-19075,OFF-BI-10001359
Standard Class,2020-04-19,2020-04-14,CS-12355,OFF-BI-10000829
Standard Class,2020-06-26,2020-06-19,JS-15685,OFF-BI-10004728
Standard Class,2020-06-18,2020-06-12,SB-20190,OFF-BI-10000848
Standard Class,2020-05-23,2020-05-18,TS-21340,OFF-BI-10000605
Standard Class,2020-11-30,2020-11-26,FG-14260,OFF-BI-10003364
Standard Class,2020-12-09,2020-12-03,CS-12460,OFF-BI-10001524
Standard Class,2020-11-19,2020-11-14,FO-14305,OFF-BI-10003669
Standard Class,2020-11-16,2020-11-10,FH-14275,OFF-BI-10003925
Standard Class,2020-12-26,2020-12-20,DK-13150,OFF-BI-10001524
Standard Class,2020-12-23,2020-12-17,AT-10735,OFF-BI-10001617
Standard Class,2021-01-04,2020-12-28,JF-15415,OFF-BI-10001922
Standard Class,2020-12-29,2020-12-24,AR-10540,OFF-BI-10003708
Standard Class,2020-12-09,2020-12-03,CS-12460,OFF-BI-10001553
Standard Class,2020-12-15,2020-12-11,MV-18190,OFF-BI-10000050
Standard Class,2020-12-15,2020-12-11,AA-10375,OFF-BI-10002498
Standard Class,2020-10-14,2020-10-09,HG-14845,OFF-BI-10003655
Standard Class,2020-10-14,2020-10-09,HG-14845,OFF-BI-10001031
Standard Class,2019-07-18,2019-07-14,DR-12880,OFF-BI-10004094
Standard Class,2019-06-26,2019-06-21,AS-10090,OFF-BI-10003007
Standard Class,2019-06-26,2019-06-21,AS-10090,OFF-BI-10001553
Standard Class,2019-09-08,2019-09-04,CV-12295,OFF-BI-10001460
Standard Class,2019-08-31,2019-08-26,KD-16615,OFF-BI-10001510
Standard Class,2019-03-12,2019-03-08,GB-14575,OFF-BI-10000632
Standard Class,2019-04-02,2019-03-29,JM-15250,OFF-BI-10000320
Standard Class,2019-04-02,2019-03-29,JM-15250,OFF-BI-10003708
Standard Class,2019-04-09,2019-04-04,EH-14185,OFF-BI-10004600
Standard Class,2019-04-05,2019-04-01,FP-14320,OFF-BI-10004140
Standard Class,2019-04-05,2019-04-01,TB-21175,OFF-BI-10003305
Standard Class,2019-01-29,2019-01-22,TB-21280,OFF-BI-10004506
Standard Class,2019-01-21,2019-01-15,WB-21850,OFF-BI-10002225
Standard Class,2019-02-22,2019-02-15,PG-18820,OFF-BI-10004519
Standard Class,2019-05-21,2019-05-15,TT-21220,OFF-BI-10002393
Standard Class,2019-05-24,2019-05-19,BN-11515,OFF-BI-10002824
Standard Class,2019-05-11,2019-05-07,CJ-12010,OFF-BI-10000309
Standard Class,2019-06-06,2019-05-31,NM-18520,OFF-BI-10002609
Standard Class,2019-05-06,2019-05-02,EH-13765,OFF-BI-10001670
Standard Class,2019-04-26,2019-04-19,KM-16720,OFF-BI-10000174
Standard Class,2019-05-04,2019-04-30,JL-15835,OFF-BI-10003314
Standard Class,2019-12-19,2019-12-14,PK-19075,OFF-BI-10000279
Standard Class,2019-12-30,2019-12-26,AJ-10795,OFF-BI-10004967
Standard Class,2019-12-26,2019-12-22,LC-16885,OFF-BI-10004233
Standard Class,2019-12-07,2019-12-02,JF-15190,OFF-BI-10004318
Standard Class,2019-12-07,2019-12-02,JF-15190,OFF-BI-10004236
Standard Class,2020-02-12,2020-02-06,SP-20545,OFF-BI-10000279
Standard Class,2021-01-03,2020-12-30,PO-18865,OFF-BI-10003684
Standard Class,2020-03-12,2020-03-07,SH-20395,OFF-BI-10003669
Standard Class,2019-09-22,2019-09-17,LW-17215,OFF-BI-10002026
Standard Class,2019-09-23,2019-09-18,HM-14980,OFF-BI-10004654
Standard Class,2019-09-20,2019-09-15,AH-10075,OFF-BI-10003650
Standard Class,2019-10-31,2019-10-27,BW-11200,OFF-BI-10002949
Standard Class,2019-11-24,2019-11-19,DJ-13630,OFF-BI-10003305
Standard Class,2019-11-27,2019-11-22,CA-12055,OFF-BI-10001524
Standard Class,2019-11-26,2019-11-22,TB-21355,OFF-BI-10000605
Standard Class,2019-11-03,2019-10-30,EH-13765,OFF-BI-10004817
Standard Class,2019-11-14,2019-11-10,SH-19975,OFF-BI-10003982
Standard Class,2019-11-14,2019-11-10,SH-19975,OFF-BI-10001191
Standard Class,2019-11-14,2019-11-10,SW-20275,OFF-BI-10002557
Standard Class,2019-11-16,2019-11-11,EB-13750,OFF-BI-10004236
Standard Class,2019-11-16,2019-11-11,EB-13750,OFF-BI-10001510
Standard Class,2020-09-26,2020-09-20,SV-20365,OFF-BI-10000343
Standard Class,2020-11-24,2020-11-17,GG-14650,OFF-BI-10002103
Standard Class,2020-09-25,2020-09-19,AB-10105,OFF-BI-10001460
Standard Class,2020-12-06,2020-12-01,SH-19975,OFF-BI-10002003
Standard Class,2020-07-19,2020-07-15,MM-17260,OFF-BI-10004094
Standard Class,2020-01-18,2020-01-14,BH-11710,OFF-BI-10003727
Standard Class,2020-01-18,2020-01-14,BH-11710,OFF-BI-10002003
Standard Class,2020-09-13,2020-09-09,SP-20620,OFF-BI-10000069
Standard Class,2021-01-01,2020-12-25,GA-14725,OFF-BI-10001116
Standard Class,2020-09-14,2020-09-10,SS-20410,OFF-BI-10004876
Standard Class,2021-01-01,2020-12-25,GA-14725,OFF-BI-10001597
Standard Class,2021-01-01,2020-12-25,GA-14725,OFF-BI-10003684
Standard Class,2020-09-13,2020-09-09,SP-20620,OFF-BI-10002432
Standard Class,2020-03-21,2020-03-17,PO-19180,OFF-BI-10003166
Standard Class,2020-07-25,2020-07-20,EM-13825,OFF-BI-10000404
Standard Class,2020-07-25,2020-07-20,EM-13825,OFF-BI-10002072
Standard Class,2020-07-23,2020-07-18,ML-17410,OFF-BI-10003350
Standard Class,2020-07-08,2020-07-01,KF-16285,OFF-BI-10003656
Standard Class,2020-07-10,2020-07-05,LS-16945,OFF-BI-10004492
Standard Class,2020-07-10,2020-07-05,LS-16945,OFF-BI-10003429
Standard Class,2020-09-06,2020-09-01,SS-20875,OFF-BI-10003476
Standard Class,2020-09-03,2020-08-28,KN-16705,OFF-BI-10001658
Standard Class,2020-08-09,2020-08-05,PO-18865,OFF-BI-10001989
Standard Class,2020-08-04,2020-07-31,LB-16795,OFF-BI-10003656
Standard Class,2020-08-05,2020-07-31,LS-17200,OFF-BI-10003460
Standard Class,2020-08-19,2020-08-12,DK-12895,OFF-BI-10004308
Standard Class,2020-08-23,2020-08-19,JB-15400,OFF-BI-10003925
Standard Class,2020-08-22,2020-08-18,RA-19915,OFF-BI-10001636
Standard Class,2020-08-22,2020-08-18,RA-19915,OFF-BI-10001098
Standard Class,2020-08-25,2020-08-18,YS-21880,OFF-BI-10003925
Standard Class,2020-08-18,2020-08-13,DC-12850,OFF-BI-10001359
Standard Class,2020-04-24,2020-04-20,CV-12295,OFF-BI-10001036
Standard Class,2020-04-30,2020-04-24,AF-10870,OFF-BI-10001628
Standard Class,2020-04-24,2020-04-20,CV-12295,OFF-BI-10001989
Standard Class,2020-04-23,2020-04-17,SR-20425,OFF-BI-10000773
Standard Class,2020-04-23,2020-04-17,SR-20425,OFF-BI-10003355
Standard Class,2020-04-20,2020-04-16,RF-19840,OFF-BI-10001553
Standard Class,2020-04-22,2020-04-16,ND-18370,OFF-BI-10001107
Standard Class,2020-05-09,2020-05-04,SH-20395,OFF-BI-10003910
Standard Class,2020-05-08,2020-05-03,BO-11350,OFF-BI-10002133
Standard Class,2020-05-08,2020-05-03,BO-11350,OFF-BI-10003684
Standard Class,2020-05-11,2020-05-06,DB-13555,OFF-BI-10002827
Standard Class,2020-05-05,2020-04-30,TC-21475,OFF-BI-10001575
Standard Class,2020-04-02,2020-03-28,CK-12760,OFF-BI-10001191
Standard Class,2020-03-25,2020-03-21,PS-18970,OFF-BI-10004410
Standard Class,2020-04-10,2020-04-06,CS-12175,OFF-BI-10003669
Standard Class,2020-04-14,2020-04-09,NC-18625,OFF-BI-10004492
